[2025-03-06 04:00:25][MAIN] - Bot is ready.
[2025-03-06 04:00:25][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-03-06 04:00:26][MAIN] - Contacting Arduino..
[2025-03-06 04:00:26][MAIN] - Arduino found!
[2025-03-06 04:00:26][MAIN] - Actuator running.
[2025-03-06 04:00:26][MAIN] - To Arduino: LIGHTSOFF
[2025-03-06 04:00:27][MAIN] - Already up to date.
[2025-03-06 04:00:31][MAIN] - IP 84.150.99.182 uploaded to:
[2025-03-06 04:00:31][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-03-06 04:00:31][FLASK] -  * Serving Flask app 'server'
[2025-03-06 04:00:31][FLASK] -  * Debug mode: off
[2025-03-06 04:00:32][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-03-06 04:00:32][WEBSOCKET] -  * Debug mode: off
[2025-03-06 04:00:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:00:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:00:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:01:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:02:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:03:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:03:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-06 04:03:26][FLASK] - AUDIO: {'audio': 'pingvol'}
