[2025-02-15 04:00:20][MAIN] - Contacting Arduino..
[2025-02-15 04:00:20][MAIN] - Arduino found!
[2025-02-15 04:00:20][MAIN] - Actuator running.
[2025-02-15 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:00:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:00:24][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:00:25][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-15 04:00:25][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-15 04:00:25][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-15 04:00:25][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-15 04:00:25][FLASK] -  * Serving Flask app 'server'
[2025-02-15 04:00:25][FLASK] -  * Debug mode: off
[2025-02-15 04:00:25][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-15 04:00:25][WEBSOCKET] -  * Debug mode: off
[2025-02-15 04:00:26][MAIN] - Already up to date.
[2025-02-15 04:00:26][MAIN] - Audio set on automatically
[2025-02-15 04:00:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:00:27][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:00:28][MAIN] - To Arduino: STRIPTOPG4
[2025-02-15 04:00:28][MAIN] - Command AUDIOON sent
[2025-02-15 04:00:28][MAIN] - To Arduino: LIGHTSOFF
[2025-02-15 04:03:26][MAIN] - Audio set off automatically
[2025-02-15 04:03:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:03:27][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:03:30][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 04:03:31][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-15 04:03:31][MAIN] - Command AUDIOOFF sent
[2025-02-15 05:25:45][FLASK] - PING
[2025-02-15 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-15 08:45:09][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-15 08:45:09][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 08:45:10][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-15 08:45:11][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-15 08:45:11][MAIN] - To Arduino: STRIPTOPG4
[2025-02-15 08:45:11][MAIN] - Command AUDIOON sent
[2025-02-15 08:45:11][MAIN] - To Arduino: STRIPOFF
[2025-02-15 08:45:12][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-15 08:45:12][MAIN] - To Arduino: STRIPON
[2025-02-15 08:45:12][MAIN] - To Arduino: STRIPG4
[2025-02-15 08:45:12][MAIN] - Command STRIPTOPG4 sent
[2025-02-15 08:45:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:45:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:45:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:45:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:45:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:46:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:46:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:46:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:46:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:46:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:47:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:47:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-15 08:47:20][FLASK] - AUDIO: {'audio': 'pingvol'}
