[2025-03-05 04:00:11][MAIN] - Bot is ready.
[2025-03-05 04:00:11][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-03-05 04:00:12][MAIN] - Contacting Arduino..
[2025-03-05 04:00:13][MAIN] - Arduino found!
[2025-03-05 04:00:13][MAIN] - Actuator running.
[2025-03-05 04:00:13][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:00:13][MAIN] - Already up to date.
[2025-03-05 04:00:14][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:00:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:00:17][MAIN] - IP 84.150.99.182 uploaded to:
[2025-03-05 04:00:17][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-03-05 04:00:17][MAIN] - To Arduino: STRIPTOPOFF
[2025-03-05 04:00:17][MAIN] - Audio set on automatically
[2025-03-05 04:00:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:00:17][FLASK] -  * Serving Flask app 'server'
[2025-03-05 04:00:17][FLASK] -  * Debug mode: off
[2025-03-05 04:00:18][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-03-05 04:00:18][WEBSOCKET] -  * Debug mode: off
[2025-03-05 04:00:18][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:00:19][MAIN] - To Arduino: STRIPTOPG4
[2025-03-05 04:00:19][MAIN] - Command AUDIOON sent
[2025-03-05 04:00:19][MAIN] - To Arduino: LIGHTSOFF
[2025-03-05 04:03:17][MAIN] - Audio set off automatically
[2025-03-05 04:03:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:03:18][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:03:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 04:03:22][MAIN] - To Arduino: STRIPTOPOFF
[2025-03-05 04:03:22][MAIN] - Command AUDIOOFF sent
[2025-03-05 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-03-05 08:30:11][FLASK] - AUDIO: {'audio': 'on'}
[2025-03-05 08:30:11][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 08:30:12][MAIN] - To Arduino: AUDIOON/OFF
[2025-03-05 08:30:12][FLASK] - STRIP: {'strip': 'topG4'}
[2025-03-05 08:30:13][MAIN] - To Arduino: STRIPTOPG4
[2025-03-05 08:30:13][MAIN] - Command AUDIOON sent
[2025-03-05 08:30:13][MAIN] - To Arduino: STRIPOFF
[2025-03-05 08:30:13][MAIN] - To Arduino: STRIPTOPDEF
[2025-03-05 08:30:13][MAIN] - To Arduino: STRIPON
[2025-03-05 08:30:13][MAIN] - To Arduino: STRIPG4
[2025-03-05 08:30:13][MAIN] - Command STRIPTOPG4 sent
[2025-03-05 08:30:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:30:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:30:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:30:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:31:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:32:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:33:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:34:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:35:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:36:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:37:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:38:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:39:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:40:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:41:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:42:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:43:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:44:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:45:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:46:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:47:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:48:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:49:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:49:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-05 08:49:26][FLASK] - AUDIO: {'audio': 'pingvol'}
