[2025-03-03 17:04:58][MAIN] - Bot is ready.
[2025-03-03 17:04:58][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-03-03 17:04:59][MAIN] - Contacting Arduino..
[2025-03-03 17:04:59][MAIN] - Already up to date.
[2025-03-03 17:05:00][MAIN] - Arduino found!
[2025-03-03 17:05:00][MAIN] - Actuator running.
[2025-03-03 17:05:00][MAIN] - To Arduino: LIGHTSON
[2025-03-03 17:05:04][MAIN] - IP 84.150.99.182 uploaded to:
[2025-03-03 17:05:04][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-03-03 17:05:05][FLASK] -  * Serving Flask app 'server'
[2025-03-03 17:05:05][FLASK] -  * Debug mode: off
[2025-03-03 17:05:05][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-03-03 17:05:05][WEBSOCKET] -  * Debug mode: off
[2025-03-03 17:05:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:05:08][FLASK] - LIGHTS: {'lights': 'off'}
[2025-03-03 17:05:09][MAIN] - Mode set to: LIGHTSOFF
[2025-03-03 17:05:09][MAIN] - To Arduino: LIGHTSOFF
[2025-03-03 17:05:11][FLASK] - LIGHTS: {'lights': 'auto'}
[2025-03-03 17:05:11][MAIN] - Mode set to: LIGHTSAUTO
[2025-03-03 17:05:11][MAIN] - To Arduino: LIGHTSON
[2025-03-03 17:05:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:05:25][MAIN] - Serving 807946519: msg 4369
[2025-03-03 17:05:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:05:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:05:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:05:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-03 17:06:07][FLASK] - AUDIO: {'audio': 'pingvol'}
