[2025-02-12 04:00:13][MAIN] - Contacting Arduino..
[2025-02-12 04:00:13][MAIN] - Arduino found!
[2025-02-12 04:00:13][MAIN] - Actuator running.
[2025-02-12 04:00:13][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:00:14][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:00:17][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:00:17][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-12 04:00:17][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-12 04:00:18][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-12 04:00:18][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-12 04:00:18][FLASK] -  * Serving Flask app 'server'
[2025-02-12 04:00:18][FLASK] -  * Debug mode: off
[2025-02-12 04:00:18][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-12 04:00:18][WEBSOCKET] -  * Debug mode: off
[2025-02-12 04:00:19][MAIN] - Already up to date.
[2025-02-12 04:00:19][MAIN] - Audio set on automatically
[2025-02-12 04:00:19][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:00:21][MAIN] - To Arduino: STRIPTOPG4
[2025-02-12 04:00:21][MAIN] - Command AUDIOON sent
[2025-02-12 04:00:21][MAIN] - To Arduino: LIGHTSOFF
[2025-02-12 04:03:20][MAIN] - Audio set off automatically
[2025-02-12 04:03:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:03:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:03:24][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 04:03:24][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-12 04:03:24][MAIN] - Command AUDIOOFF sent
[2025-02-12 04:03:45][WEBSOCKET] - 118.194.231.231 - - [12/Feb/2025 04:03:45] code 400, message Bad request version ('\x00\x9eÌ¨Ìª\x003\x00=\x00\x16À')
[2025-02-12 04:04:06][WEBSOCKET] - 118.194.231.231 - - [12/Feb/2025 04:04:06] code 400, message Bad request version ('GetClassName\x00\x00\x00\x02\x04\x00\x00\x00\x00\x01\x00')
[2025-02-12 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-12 09:04:27][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-12 09:04:27][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 09:04:28][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-12 09:04:28][MAIN] - To Arduino: STRIPTOPG4
[2025-02-12 09:04:28][MAIN] - Command AUDIOON sent
[2025-02-12 09:04:29][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-12 09:04:29][MAIN] - To Arduino: STRIPOFF
[2025-02-12 09:04:30][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-12 09:04:30][MAIN] - To Arduino: STRIPON
[2025-02-12 09:04:30][MAIN] - To Arduino: STRIPG4
[2025-02-12 09:04:30][MAIN] - Command STRIPTOPG4 sent
[2025-02-12 09:04:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:04:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:04:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:05:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:06:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:07:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-12 09:07:16][FLASK] - AUDIO: {'audio': 'pingvol'}
