[2025-03-07 04:00:29][MAIN] - Bot is ready.
[2025-03-07 04:00:29][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-03-07 04:00:30][MAIN] - Contacting Arduino..
[2025-03-07 04:00:31][MAIN] - Arduino found!
[2025-03-07 04:00:31][MAIN] - Actuator running.
[2025-03-07 04:00:31][MAIN] - To Arduino: LIGHTSOFF
[2025-03-07 04:00:31][MAIN] - Already up to date.
[2025-03-07 04:00:35][MAIN] - IP 84.150.99.182 uploaded to:
[2025-03-07 04:00:35][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-03-07 04:00:36][FLASK] -  * Serving Flask app 'server'
[2025-03-07 04:00:36][FLASK] -  * Debug mode: off
[2025-03-07 04:00:36][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-03-07 04:00:36][WEBSOCKET] -  * Debug mode: off
[2025-03-07 04:00:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:00:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:00:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:01:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-07 04:02:58][FLASK] - AUDIO: {'audio': 'pingvol'}
