[2025-04-03 04:00:21][MAIN] - Bot is ready.
[2025-04-03 04:00:21][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-04-03 04:00:22][MAIN] - Contacting Arduino..
[2025-04-03 04:00:22][MAIN] - Arduino found!
[2025-04-03 04:00:22][MAIN] - Actuator running.
[2025-04-03 04:00:22][MAIN] - To Arduino: LIGHTSOFF
[2025-04-03 04:00:23][MAIN] - Already up to date.
[2025-04-03 04:00:27][MAIN] - IP 84.155.74.137 uploaded to:
[2025-04-03 04:00:27][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-04-03 04:00:27][FLASK] -  * Serving Flask app 'server'
[2025-04-03 04:00:27][FLASK] -  * Debug mode: off
[2025-04-03 04:00:27][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-04-03 04:00:27][WEBSOCKET] -  * Debug mode: off
[2025-04-03 04:00:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:00:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:00:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:00:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:01:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:02:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:03:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:04:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:05:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:06:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:07:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:08:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:09:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:09:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:09:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:09:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:09:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:10:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:11:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:12:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:13:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:14:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:15:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:16:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:17:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:18:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:19:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:20:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:21:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-03 04:22:53][FLASK] - AUDIO: {'audio': 'pingvol'}
