[2025-02-11 04:00:14][MAIN] - Contacting Arduino..
[2025-02-11 04:00:14][MAIN] - Arduino found!
[2025-02-11 04:00:14][MAIN] - Actuator running.
[2025-02-11 04:00:14][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:00:15][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:00:18][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:00:18][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-11 04:00:18][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-11 04:00:19][FLASK] -  * Serving Flask app 'server'
[2025-02-11 04:00:19][FLASK] -  * Debug mode: off
[2025-02-11 04:00:19][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-11 04:00:19][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-11 04:00:19][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-11 04:00:19][WEBSOCKET] -  * Debug mode: off
[2025-02-11 04:00:20][MAIN] - Already up to date.
[2025-02-11 04:00:20][MAIN] - Audio set on automatically
[2025-02-11 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:00:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:00:22][MAIN] - To Arduino: STRIPTOPG4
[2025-02-11 04:00:22][MAIN] - Command AUDIOON sent
[2025-02-11 04:00:22][MAIN] - To Arduino: LIGHTSOFF
[2025-02-11 04:03:20][MAIN] - Audio set off automatically
[2025-02-11 04:03:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:03:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:03:24][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 04:03:25][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-11 04:03:25][MAIN] - Command AUDIOOFF sent
[2025-02-11 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-11 08:18:39][WEBSOCKET] - 3.15.205.188 - - [11/Feb/2025 08:18:39] code 400, message Bad HTTP/0.9 request type ('\x16\x03\x01\x00{\x01\x00\x00w\x03\x03]îê}õþÃ\x16\x87£Ú\x98;ú©\x11\x90½6uS\x05l\x8d¼Ïõ¼\x89\x81C\x82\x00\x00\x1aÀ/À+À\x11À\x07À\x13À')
[2025-02-11 08:18:42][WEBSOCKET] - 3.15.205.188 - - [11/Feb/2025 08:18:42] code 400, message Bad request version ('À\x14À')
[2025-02-11 08:18:45][WEBSOCKET] - 3.15.205.188 - - [11/Feb/2025 08:18:45] code 400, message Bad request syntax ('SSH-2.0-Go')
[2025-02-11 08:52:11][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-11 08:52:11][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 08:52:12][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-11 08:52:13][MAIN] - To Arduino: STRIPTOPG4
[2025-02-11 08:52:13][MAIN] - Command AUDIOON sent
[2025-02-11 08:52:13][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-11 08:52:13][MAIN] - To Arduino: STRIPOFF
[2025-02-11 08:52:13][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-11 08:52:14][MAIN] - To Arduino: STRIPON
[2025-02-11 08:52:14][MAIN] - To Arduino: STRIPG4
[2025-02-11 08:52:14][MAIN] - Command STRIPTOPG4 sent
[2025-02-11 08:52:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:52:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:52:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:52:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:53:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:54:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:55:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-11 08:55:11][FLASK] - AUDIO: {'audio': 'pingvol'}
