[2025-02-19 04:00:17][MAIN] - Bot is ready.
[2025-02-19 04:00:18][MAIN] - Contacting Arduino..
[2025-02-19 04:00:19][MAIN] - Arduino found!
[2025-02-19 04:00:19][MAIN] - Actuator running.
[2025-02-19 04:00:19][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:00:23][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:00:23][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-19 04:00:23][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-19 04:00:23][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-19 04:00:23][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-19 04:00:24][FLASK] -  * Serving Flask app 'server'
[2025-02-19 04:00:24][FLASK] -  * Debug mode: off
[2025-02-19 04:00:25][MAIN] - Already up to date.
[2025-02-19 04:00:25][MAIN] - Audio set on automatically
[2025-02-19 04:00:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:00:25][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-19 04:00:25][WEBSOCKET] -  * Debug mode: off
[2025-02-19 04:00:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:00:26][MAIN] - To Arduino: STRIPTOPG4
[2025-02-19 04:00:26][MAIN] - Command AUDIOON sent
[2025-02-19 04:00:26][MAIN] - To Arduino: LIGHTSOFF
[2025-02-19 04:03:25][MAIN] - Audio set off automatically
[2025-02-19 04:03:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:03:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:03:29][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 04:03:29][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-19 04:03:29][MAIN] - Command AUDIOOFF sent
[2025-02-19 06:23:40][FLASK] - PING
[2025-02-19 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-19 15:29:36][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-19 15:29:36][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 15:29:37][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-19 15:29:38][MAIN] - To Arduino: STRIPTOPG4
[2025-02-19 15:29:38][MAIN] - Command AUDIOON sent
[2025-02-19 15:29:38][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-19 15:29:38][MAIN] - To Arduino: STRIPOFF
[2025-02-19 15:29:38][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-19 15:29:38][MAIN] - To Arduino: STRIPON
[2025-02-19 15:29:39][MAIN] - To Arduino: STRIPG4
[2025-02-19 15:29:39][MAIN] - Command STRIPTOPG4 sent
[2025-02-19 15:29:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:29:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:30:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:31:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:32:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:33:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:34:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:35:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:36:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:37:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:38:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:39:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:40:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:41:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:42:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:43:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:44:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:45:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:46:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:46:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:46:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:46:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:46:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:47:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:48:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:49:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:50:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:51:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:52:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:53:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:54:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:55:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:56:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:57:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:58:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 15:59:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 16:00:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 16:00:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-19 16:00:23][FLASK] - AUDIO: {'audio': 'pingvol'}
