[2025-03-08 04:00:18][MAIN] - Bot is ready.
[2025-03-08 04:00:18][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-03-08 04:00:19][MAIN] - Contacting Arduino..
[2025-03-08 04:00:19][MAIN] - Already up to date.
[2025-03-08 04:00:19][MAIN] - Arduino found!
[2025-03-08 04:00:19][MAIN] - Actuator running.
[2025-03-08 04:00:19][MAIN] - To Arduino: LIGHTSOFF
[2025-03-08 04:00:24][MAIN] - IP 84.150.99.182 uploaded to:
[2025-03-08 04:00:24][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-03-08 04:00:24][FLASK] -  * Serving Flask app 'server'
[2025-03-08 04:00:24][FLASK] -  * Debug mode: off
[2025-03-08 04:00:24][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-03-08 04:00:24][WEBSOCKET] -  * Debug mode: off
[2025-03-08 04:00:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:00:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:00:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:01:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:02:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:03:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-03-08 04:03:14][FLASK] - AUDIO: {'audio': 'pingvol'}
