[2025-04-05 04:00:13][MAIN] - Bot is ready.
[2025-04-05 04:00:13][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-04-05 04:00:14][MAIN] - Contacting Arduino..
[2025-04-05 04:00:14][MAIN] - Already up to date.
[2025-04-05 04:00:14][MAIN] - Arduino found!
[2025-04-05 04:00:14][MAIN] - Actuator running.
[2025-04-05 04:00:14][MAIN] - To Arduino: LIGHTSOFF
[2025-04-05 04:00:18][MAIN] - IP 84.155.74.137 uploaded to:
[2025-04-05 04:00:18][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-04-05 04:00:19][FLASK] -  * Serving Flask app 'server'
[2025-04-05 04:00:19][FLASK] -  * Debug mode: off
[2025-04-05 04:00:19][WEBSOCKET] -  * Serving Flask app 'websocket_server'
[2025-04-05 04:00:19][WEBSOCKET] -  * Debug mode: off
[2025-04-05 04:00:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:00:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:00:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:00:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:01:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:02:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:03:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:04:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:04:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:04:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-04-05 04:04:39][FLASK] - AUDIO: {'audio': 'pingvol'}
