[2025-02-23 04:00:18][MAIN] - Bot is ready.
[2025-02-23 04:00:19][MAIN] - Contacting Arduino..
[2025-02-23 04:00:20][MAIN] - Arduino found!
[2025-02-23 04:00:20][MAIN] - Actuator running.
[2025-02-23 04:00:20][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:00:21][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:00:24][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:00:24][MAIN] - IP 84.150.103.227 uploaded to:
[2025-02-23 04:00:24][MAIN] - https://storage.googleapis.com/ip-manager42.appspot.com/RaspberryPi-Cyan/ip_server.txt
[2025-02-23 04:00:24][FLASK] -  * Serving Flask app 'server'
[2025-02-23 04:00:24][FLASK] -  * Debug mode: off
[2025-02-23 04:00:24][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-23 04:00:24][MAIN] - Pulling from GitHub: /home/claudio/Python-Projects/RoomServer
[2025-02-23 04:00:24][WEBSOCKET] -  * Serving Flask app 'websocket'
[2025-02-23 04:00:24][WEBSOCKET] -  * Debug mode: off
[2025-02-23 04:00:25][MAIN] - Already up to date.
[2025-02-23 04:00:25][MAIN] - Audio set on automatically
[2025-02-23 04:00:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:00:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:00:27][MAIN] - To Arduino: STRIPTOPG4
[2025-02-23 04:00:27][MAIN] - Command AUDIOON sent
[2025-02-23 04:00:27][MAIN] - To Arduino: LIGHTSOFF
[2025-02-23 04:03:25][MAIN] - Audio set off automatically
[2025-02-23 04:03:25][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:03:26][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:03:29][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 04:03:30][MAIN] - To Arduino: STRIPTOPOFF
[2025-02-23 04:03:30][MAIN] - Command AUDIOOFF sent
[2025-02-23 05:15:03][FLASK] - PING
[2025-02-23 07:30:00][MAIN] - To Arduino: LIGHTSON
[2025-02-23 09:12:12][FLASK] - AUDIO: {'audio': 'on'}
[2025-02-23 09:12:12][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 09:12:13][MAIN] - To Arduino: AUDIOON/OFF
[2025-02-23 09:12:14][MAIN] - To Arduino: STRIPTOPG4
[2025-02-23 09:12:14][MAIN] - Command AUDIOON sent
[2025-02-23 09:12:14][FLASK] - STRIP: {'strip': 'topG4'}
[2025-02-23 09:12:14][MAIN] - To Arduino: STRIPOFF
[2025-02-23 09:12:15][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-23 09:12:15][MAIN] - To Arduino: STRIPON
[2025-02-23 09:12:15][MAIN] - To Arduino: STRIPG4
[2025-02-23 09:12:15][MAIN] - Command STRIPTOPG4 sent
[2025-02-23 09:12:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:12:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:12:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:12:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:13:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:14:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:15:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:15:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-23 09:15:23][FLASK] - AUDIO: {'audio': 'pingvol'}
